number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_l2,params_learning_rate,params_n_layers,params_units_0,params_units_1,params_units_2,params_units_3,params_units_4,user_attrs_epochs_trained,user_attrs_train_auc_final,user_attrs_val_auc_best,system_attrs_tpe:relative_params:0,state
0,0.7775559425354004,2026-09-10 03:39:57.626234,2026-09-10 03:51:36.758555,0 days 00:11:39.132321,elu,2048,0.20869579394348992,0.0004814630675144935,1.6545944805072328e-05,5,64,128,256.0,256.0,64.0,36.0,0.7215989232063293,0.7775559425354004,,COMPLETE
1,0.7848168015480042,2026-09-10 03:51:36.794208,2026-09-10 03:52:53.879732,0 days 00:01:17.085524,relu,2048,0.4369463916704811,4.302781566036206e-05,0.0009441840187384604,2,64,32,,,,18.0,0.7552047371864319,0.7848168015480042,,COMPLETE
2,0.7833209037780762,2026-09-10 03:52:53.908100,2026-09-10 03:54:16.253006,0 days 00:01:22.344906,leaky_relu,256,0.28624668410065857,0.0019020380841310992,0.00017963606539354426,2,32,64,,,,9.0,0.7462753653526306,0.7833209037780762,,COMPLETE
3,0.7821027040481567,2026-09-10 03:54:16.277418,2026-09-10 03:56:54.207725,0 days 00:02:37.930307,relu,256,0.22612612598509566,0.003875624468222902,0.0003277214660752898,4,64,256,32.0,128.0,,9.0,0.7492474317550659,0.7821027040481567,,COMPLETE
4,0.783008873462677,2026-09-10 03:56:54.231916,2026-09-10 03:58:51.652804,0 days 00:01:57.420888,relu,1024,0.23968322688744356,0.0002617064981077936,0.0007456398879354032,3,128,256,32.0,,,10.0,0.7550674676895142,0.783008873462677,,COMPLETE
5,0.7799681425094604,2026-09-10 03:58:51.676025,2026-09-10 04:01:15.035917,0 days 00:02:23.359892,elu,256,0.12083385504633913,5.086660401529172e-06,0.0015472062317497984,4,128,256,32.0,128.0,,7.0,0.7554835081100464,0.7799681425094604,,COMPLETE
6,0.7801089882850647,2026-09-10 04:01:15.063534,2026-09-10 04:09:24.420569,0 days 00:08:09.357035,elu,256,0.1452736679542841,0.003410078347828091,0.001812410536796925,5,128,32,128.0,256.0,256.0,16.0,0.7447358965873718,0.7801089882850647,,COMPLETE
7,,2026-09-10 04:09:24.460161,,,elu,256,0.42494437311773503,0.00018183790298692326,2.052581340964465e-05,2,32,64,,,,,,,,RUNNING
8,0.7780676484107971,2026-09-10 11:49:17.311837,2026-09-10 11:52:15.836156,0 days 00:02:58.524319,leaky_relu,256,0.16256469684889807,0.0008778100991070715,0.0030431933279283286,2,32,256,,,,13.0,0.7542951703071594,0.7780676484107971,,COMPLETE
9,0.7807779312133789,2026-09-10 11:52:15.876544,2026-09-10 11:58:35.088258,0 days 00:06:19.211714,relu,256,0.3892685606888219,0.0033177681546337316,8.005621292865662e-05,4,128,256,256.0,256.0,,13.0,0.7467256784439087,0.7807779312133789,,COMPLETE
10,0.7880495190620422,2026-09-10 11:58:35.119853,2026-09-10 12:00:07.221372,0 days 00:01:32.101519,relu,1024,0.34711605423693226,8.696637900392942e-06,0.0013543895703304,2,256,256,,,,7.0,0.7579948902130127,0.7880495190620422,,COMPLETE
11,0.776379406452179,2026-09-10 12:00:07.251166,2026-09-10 12:07:20.309728,0 days 00:07:13.058562,relu,2048,0.29511835449343077,1.6442259335654462e-05,6.782919932910544e-05,3,256,256,64.0,,,27.0,0.740323543548584,0.776379406452179,"{""activation"": ""relu"", ""batch_size"": 2048, ""dropout"": 0.29511835449343077, ""l2"": 1.6442259335654462e-05, ""learning_rate"": 6.782919932910544e-05, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 256}",COMPLETE
12,0.775871992111206,2026-09-10 12:07:20.338651,2026-09-10 12:08:23.177172,0 days 00:01:02.838521,relu,2048,0.42724861998893576,0.00011991942751484186,0.006865551751362393,4,64,32,64.0,64.0,,9.0,0.7472795248031616,0.775871992111206,"{""activation"": ""relu"", ""batch_size"": 2048, ""dropout"": 0.42724861998893576, ""l2"": 0.00011991942751484186, ""learning_rate"": 0.006865551751362393, ""n_layers"": 4, ""units_0"": 64, ""units_1"": 32}",COMPLETE
13,0.7755201458930969,2026-09-10 12:08:23.207586,2026-09-10 12:11:37.007510,0 days 00:03:13.799924,relu,1024,0.40450122805380984,1.6200242029053883e-05,0.006579324705667472,3,256,256,128.0,,,11.0,0.760920524597168,0.7755201458930969,"{""activation"": ""relu"", ""batch_size"": 1024, ""dropout"": 0.40450122805380984, ""l2"": 1.6200242029053883e-05, ""learning_rate"": 0.006579324705667472, ""n_layers"": 3, ""units_0"": 256, ""units_1"": 256}",COMPLETE
14,0.7668496370315552,2026-09-10 12:11:37.045572,2026-09-10 12:12:44.388018,0 days 00:01:07.342446,relu,2048,0.4496553769893775,3.936040084141899e-05,0.00029421871425340475,4,64,32,256.0,32.0,,7.0,0.7144339084625244,0.7668496370315552,"{""activation"": ""relu"", ""batch_size"": 2048, ""dropout"": 0.4496553769893775, ""l2"": 3.936040084141899e-05, ""learning_rate"": 0.00029421871425340475, ""n_layers"": 4, ""units_0"": 64, ""units_1"": 32}",COMPLETE
15,0.7819950580596924,2026-09-10 12:12:44.416002,2026-09-10 12:13:34.347229,0 days 00:00:49.931227,elu,2048,0.4099151108180193,6.867339996089856e-06,0.002138378477668013,2,64,32,,,,13.0,0.7526077628135681,0.7819950580596924,"{""activation"": ""elu"", ""batch_size"": 2048, ""dropout"": 0.4099151108180193, ""l2"": 6.867339996089856e-06, ""learning_rate"": 0.002138378477668013, ""n_layers"": 2, ""units_0"": 64, ""units_1"": 32}",COMPLETE
16,0.7804355621337891,2026-09-10 12:13:34.371729,2026-09-10 12:15:02.170264,0 days 00:01:27.798535,relu,2048,0.3705177688686737,0.0007676996851809019,0.0003018903176078934,3,64,32,64.0,,,18.0,0.7430420517921448,0.7804355621337891,"{""activation"": ""relu"", ""batch_size"": 2048, ""dropout"": 0.3705177688686737, ""l2"": 0.0007676996851809019, ""learning_rate"": 0.0003018903176078934, ""n_layers"": 3, ""units_0"": 64, ""units_1"": 32}",COMPLETE
